image,area_um2,perimeter_um,bbox_aspect_ratio,ellipse_major_um,ellipse_minor_um,ellipse_angle_deg,contraction_ratio,num_endpoints,num_branchpoints,length_um,straight_length_um,tortuosity,width_base_um,width_tip_um,width_max_um,curvature_mean_rad,curvature_max_rad,curvature_sum_rad,skeleton_length_um,skeleton_ratio,upper_curv_mean_rad,upper_curv_max_rad,upper_curv_sum_rad,lower_curv_mean_rad,lower_curv_max_rad,lower_curv_sum_rad,species
250826_BS_020_L,2181.5980505619664,1.1025568131405823,1.6072874493927125,0.4813242593974349,0.2174124343300733,24.57077980041504,-42084.6,99.0,492.0,43.03041671040488,40.9569442955826,1.0506256619111576,15.255993178918068,27.30935364433948,27.850847142775443,0.3395389551363831,0.7853981633974484,77.75442072623173,148.1719434768966,3.4434233922040587,0.7871130065489712,1.5707963267948966,360.4977569994288,0.7920166872463031,1.5707963267948966,281.9579406596839,B. suaveolens
250826_BS_021_L,710.4209501063857,161.2324564882068,0.6696165191740413,60.25113330249764,20.49293559328729,18.96470069885254,0.3489403467955941,82.0,337.0,16.919895771065345,14.593305627693145,1.1594285902542276,11.95695568301248,4.182415770596178,12.013281810351732,0.7010898882327226,1.5707963267948966,124.0929102171919,73.97813659406968,4.372257228710559,0.7873184523055105,1.5707963267948966,322.0132469929538,0.7872418210580058,1.5707963267948966,335.36501577071044,B. suaveolens
250826_BS_022_L,2094.607247915181,326.1988123253096,0.3327338129496403,2656.0042117079665,63.405546105977336,0.0,0.1536214953271027,27.0,486.0,56.01235813255928,49.421888894526425,1.133351221198726,18.435724344561304,5.204465740066704,23.53549007965291,0.4349897562501947,1.5707963267948966,84.82300246878798,188.52248970770447,3.365730277978044,0.7932260520691836,1.5707963267948966,238.76104167282423,0.8229770228901492,1.5707963267948966,172.0021977840412,B. suaveolens
250826_BS_023_L,1501.4520100991756,277.6420609420533,0.8974739970282318,118.40190078176828,22.7852286362364,36.39060974121094,0.2493872138657094,76.0,501.0,33.95069411169291,32.6494178635315,1.0398560321534829,11.735422836695898,15.483903185840514,15.860754113814926,0.2190847652611048,1.5707963267948966,41.626105399609926,143.6711272482837,4.231758171883801,0.7960116520920084,1.5707963267948966,353.4291735288517,0.7979645340118074,1.5707963267948966,299.2367002544278,B. suaveolens
250826_BS_024_L,1750.553909904499,281.9358009665119,0.6234866828087167,123.85121491875184,26.542991374829,27.13265991210937,0.1313275367080195,168.0,459.0,18.71642593828663,16.639640068018245,1.1248095428614475,5.059628946029485,9.262118861308611,9.505928898091351,0.6723008303970266,1.5707963267948966,84.03760379962833,133.70563567718676,7.1437589696906985,0.7937534630080595,1.5707963267948966,373.064127613788,0.797931112813365,1.5707963267948966,300.02209841782525,B. suaveolens
250826_BS_025_L,414.7311340196089,113.46393617699788,0.5094736842105263,44.42873311971757,16.24052684596173,21.25289726257324,0.1723665987780041,98.0,258.0,5.301241635619043,5.042290540999749,1.0513558456248635,10.783751034093328,11.83275014201704,11.887245625543784,0.324403599766093,0.7853981633974484,14.922565589240278,51.685008394933135,9.749604328099585,0.7995494816568617,1.5707963267948966,177.4999849278233,0.7964084180245152,1.5707963267948966,170.43140145724627,B. suaveolens
250528_CA_001,3172.181127,384.2461226,1.137096774,125.9928095,52.57040855,132.3550873,0.382325119,67.0,322.0,12.07862969,11.35497515,1.063730173,11.5607932,1.100752484,12.02239882,0.414515706,0.785398163,14.92256542,195.4723386,16.18332076,0.818984269,1.570796327,248.9712178,0.905048665,1.570796327,231.6924582,C. annuum var. grossum
250528_CA_002_1,818.3047412,160.0397572,1.035460993,60.23777163,21.4455628,123.188797,0.163719712,31.0,104.0,7.044686481,6.486860684,1.085993183,17.10422883,15.54165184,17.62508783,0.436332319,0.785398163,7.853981739,73.20394368,10.39136999,0.785398163,0.785398163,70.68583471,0.829031395,1.570796327,74.61282552,C. annuum var. grossum
250528_CA_002_2,3946.576814,425.2336482,0.348571429,156.9258152,46.09882926,168.089798,0.274605985,88.0,293.0,9.976750962,8.779290016,1.136396103,24.75121735,26.04910216,26.18577016,0.460405821,1.570796327,13.3517688,207.9644994,20.84491236,0.839652642,1.570796327,255.2544031,0.846940557,1.570796327,226.9800692,C. annuum var. grossum
250528_CA_003,5146.020964,436.5540004,0.622601279,182.6591595,48.32985935,24.30739212,0.12419295,118.0,223.0,13.73757858,12.58764449,1.091354192,14.5953236,17.70097129,17.87427569,0.461998926,1.570796327,15.7079635,198.988031,14.48494216,0.832148054,1.570796327,209.7013096,0.835782197,1.570796327,221.4822821,C. annuum var. grossum
